branch,label,config,bandgap_eV,e_fermi_eV,d_CuN_mean,d_CuN_std,d_CuN_min,d_TaN_mean,d_TaN_std,d_TaN_min,d_metalN_mean,d_metalN_std
temperature_300.0,300 K,config_1,0.731543,5.294950,,,,,,,,
temperature_300.0,300 K,config_2,0.711665,5.272945,,,,,,,,
temperature_300.0,300 K,config_3,0.714775,5.252808,,,,,,,,
temperature_300.0,300 K,config_4,0.698725,5.314281,,,,,,,,
temperature_300.0,300 K,config_5,0.754904,5.233765,,,,,,,,
temperature_300.0,300 K,config_6,0.729178,5.283836,,,,,,,,
temperature_300.0,300 K,config_7,0.701862,5.312529,,,,,,,,
temperature_300.0,300 K,config_8,0.690591,5.305498,,,,,,,,
temperature_300.0,300 K,config_9,0.724278,5.289838,,,,,,,,
temperature_300.0,300 K,config_10,0.682243,5.303310,,,,,,,,
temperature_300.0,300 K,config_11,0.736623,5.230358,,,,,,,,
temperature_300.0,300 K,config_12,0.716086,5.293799,,,,,,,,
temperature_300.0,300 K,config_13,0.770210,5.187599,,,,,,,,
temperature_300.0,300 K,config_14,0.716572,5.296126,,,,,,,,
temperature_300.0,300 K,config_15,0.707294,5.252102,,,,,,,,
temperature_300.0,300 K,config_16,0.785303,5.201965,,,,,,,,
temperature_300.0,300 K,config_17,0.802925,5.253864,,,,,,,,
temperature_300.0,300 K,config_18,0.756776,5.231316,,,,,,,,
temperature_300.0,300 K,config_19,0.790558,5.230725,,,,,,,,
temperature_300.0,300 K,config_20,0.716311,5.300233,,,,,,,,
temperature_300.0,300 K,config_21,0.789127,5.247215,,,,,,,,
temperature_300.0,300 K,config_22,0.828838,5.237476,,,,,,,,
temperature_300.0,300 K,config_23,0.834270,5.245471,,,,,,,,
temperature_300.0,300 K,config_24,0.789836,5.260159,,,,,,,,
temperature_300.0,300 K,config_25,0.764397,5.310810,,,,,,,,
temperature_300.0,300 K,config_26,0.799177,5.239765,,,,,,,,
temperature_300.0,300 K,config_27,0.799505,5.249838,,,,,,,,
temperature_300.0,300 K,config_28,0.752241,5.298394,,,,,,,,
temperature_300.0,300 K,config_29,0.777236,5.261847,,,,,,,,
temperature_300.0,300 K,config_30,0.734343,5.248526,,,,,,,,
temperature_300.0,300 K,config_31,0.787403,5.229134,,,,,,,,
temperature_300.0,300 K,config_32,0.777563,5.225188,,,,,,,,
temperature_300.0,300 K,config_33,0.777514,5.237544,,,,,,,,
temperature_300.0,300 K,config_34,0.798989,5.233532,,,,,,,,
temperature_300.0,300 K,config_35,0.783381,5.252599,,,,,,,,
temperature_300.0,300 K,config_36,0.809612,5.230723,,,,,,,,
temperature_300.0,300 K,config_37,0.874722,5.257213,,,,,,,,
temperature_300.0,300 K,config_38,0.870279,5.237613,,,,,,,,
temperature_300.0,300 K,config_39,0.890262,5.249346,,,,,,,,
temperature_300.0,300 K,config_40,0.844846,5.233508,,,,,,,,
temperature_300.0,300 K,config_41,0.881346,5.262954,,,,,,,,
temperature_300.0,300 K,config_42,0.891583,5.224403,,,,,,,,
temperature_300.0,300 K,config_43,0.835152,5.155239,,,,,,,,
temperature_300.0,300 K,config_44,0.798063,5.202240,,,,,,,,
temperature_300.0,300 K,config_45,0.894896,5.225935,,,,,,,,
temperature_300.0,300 K,config_46,0.833608,5.233066,,,,,,,,
temperature_300.0,300 K,config_47,0.768400,5.256671,,,,,,,,
temperature_300.0,300 K,config_48,0.823766,5.244222,,,,,,,,
temperature_300.0,300 K,config_49,0.795475,5.301261,,,,,,,,
temperature_300.0,300 K,config_50,0.913198,5.239226,,,,,,,,
temperature_300.0,300 K,config_51,0.938976,5.224636,,,,,,,,
temperature_300.0,300 K,config_52,0.909377,5.227243,,,,,,,,
temperature_300.0,300 K,config_53,0.920205,5.168506,,,,,,,,
temperature_300.0,300 K,config_54,0.843850,5.246145,,,,,,,,
temperature_300.0,300 K,config_55,0.904222,5.236455,,,,,,,,
temperature_300.0,300 K,config_56,0.871480,5.226810,,,,,,,,
temperature_300.0,300 K,config_57,0.847847,5.255880,,,,,,,,
temperature_300.0,300 K,config_58,0.849538,5.228742,,,,,,,,
temperature_300.0,300 K,config_59,0.939123,5.171992,,,,,,,,
temperature_300.0,300 K,config_60,0.889409,5.166010,,,,,,,,
temperature_300.0,300 K,config_61,0.836420,5.225771,,,,,,,,
temperature_300.0,300 K,config_62,0.850510,5.259698,,,,,,,,
temperature_300.0,300 K,config_63,0.854023,5.237447,,,,,,,,
temperature_300.0,300 K,config_64,0.796155,5.287310,,,,,,,,
temperature_300.0,300 K,config_65,0.838032,5.244408,,,,,,,,
temperature_300.0,300 K,config_66,0.863981,5.259590,,,,,,,,
temperature_300.0,300 K,config_67,0.864299,5.251313,,,,,,,,
temperature_300.0,300 K,config_68,0.811791,5.251382,,,,,,,,
temperature_300.0,300 K,config_69,0.807942,5.235734,,,,,,,,
temperature_300.0,300 K,config_70,0.859055,5.227270,,,,,,,,
temperature_300.0,300 K,config_71,0.877562,5.241406,,,,,,,,
temperature_300.0,300 K,config_72,0.890879,5.254179,,,,,,,,
temperature_300.0,300 K,config_73,0.858598,5.210916,,,,,,,,
temperature_300.0,300 K,config_74,0.880970,5.215555,,,,,,,,
temperature_300.0,300 K,config_75,0.861926,5.236428,,,,,,,,
temperature_300.0,300 K,config_76,0.899222,5.225211,,,,,,,,
temperature_300.0,300 K,config_77,0.885659,5.227728,,,,,,,,
temperature_300.0,300 K,config_78,0.836051,5.241529,,,,,,,,
temperature_300.0,300 K,config_79,0.851877,5.230830,,,,,,,,
temperature_300.0,300 K,config_80,0.855711,5.249890,,,,,,,,
temperature_300.0,300 K,config_81,0.920302,5.224204,,,,,,,,
temperature_300.0,300 K,config_82,0.935082,5.176870,,,,,,,,
temperature_300.0,300 K,config_83,0.837050,5.234227,,,,,,,,
temperature_300.0,300 K,config_84,0.893658,5.228100,,,,,,,,
temperature_300.0,300 K,config_85,0.846856,5.246672,,,,,,,,
temperature_300.0,300 K,config_86,0.851490,5.257258,,,,,,,,
temperature_300.0,300 K,config_87,0.804454,5.260272,,,,,,,,
temperature_300.0,300 K,config_88,0.861813,5.237413,,,,,,,,
temperature_300.0,300 K,config_89,0.902092,5.182601,,,,,,,,
temperature_300.0,300 K,config_90,0.847138,5.234050,,,,,,,,
temperature_300.0,300 K,config_91,0.789768,5.285432,,,,,,,,
temperature_300.0,300 K,config_92,0.756527,5.307858,,,,,,,,
temperature_300.0,300 K,config_93,0.859501,5.215141,,,,,,,,
temperature_300.0,300 K,config_94,0.895252,5.248303,,,,,,,,
temperature_300.0,300 K,config_95,0.787531,5.256615,,,,,,,,
temperature_300.0,300 K,config_96,0.829942,5.254486,,,,,,,,
temperature_300.0,300 K,config_97,0.829662,5.240327,,,,,,,,
temperature_300.0,300 K,config_98,0.764745,5.242096,,,,,,,,
temperature_300.0,300 K,config_99,0.725535,5.290934,,,,,,,,
temperature_300.0,300 K,config_100,0.774685,5.303446,,,,,,,,
temperature_300.0,300 K,config_101,0.771455,5.233927,,,,,,,,
temperature_300.0,300 K,config_102,0.872224,5.183309,,,,,,,,
temperature_300.0,300 K,config_103,0.809725,5.247234,,,,,,,,
temperature_300.0,300 K,config_104,0.835593,5.232274,,,,,,,,
temperature_300.0,300 K,config_105,0.813754,5.239462,,,,,,,,
temperature_300.0,300 K,config_106,0.813844,5.193237,,,,,,,,
temperature_300.0,300 K,config_107,0.832794,5.256708,,,,,,,,
temperature_300.0,300 K,config_108,0.771614,5.239287,,,,,,,,
temperature_300.0,300 K,config_109,0.781208,5.245314,,,,,,,,
temperature_300.0,300 K,config_110,0.763416,5.298371,,,,,,,,
temperature_300.0,300 K,config_111,0.748910,5.233299,,,,,,,,
temperature_300.0,300 K,config_112,0.818487,5.241796,,,,,,,,
temperature_300.0,300 K,config_113,0.818672,5.232205,,,,,,,,
temperature_300.0,300 K,config_114,0.715251,5.248209,,,,,,,,
temperature_300.0,300 K,config_115,0.821331,5.231226,,,,,,,,
temperature_300.0,300 K,config_116,0.805196,5.230417,,,,,,,,
temperature_300.0,300 K,config_117,0.777854,5.261966,,,,,,,,
temperature_300.0,300 K,config_118,0.762518,5.253223,,,,,,,,
temperature_300.0,300 K,config_119,0.858006,5.228902,,,,,,,,
temperature_300.0,300 K,config_120,0.805644,5.248584,,,,,,,,
temperature_300.0,300 K,config_121,0.709029,5.301247,,,,,,,,
temperature_300.0,300 K,config_122,0.755394,5.233438,,,,,,,,
temperature_300.0,300 K,config_123,0.735752,5.251849,,,,,,,,
temperature_300.0,300 K,config_124,0.863779,5.171922,,,,,,,,
temperature_300.0,300 K,config_125,0.789969,5.238763,,,,,,,,
temperature_300.0,300 K,config_126,0.688997,5.314768,,,,,,,,
temperature_300.0,300 K,config_127,0.736999,5.244315,,,,,,,,
temperature_300.0,300 K,config_128,0.769679,5.221420,,,,,,,,
temperature_300.0,300 K,config_129,0.758500,5.243485,,,,,,,,
temperature_300.0,300 K,config_130,0.782063,5.235716,,,,,,,,
temperature_300.0,300 K,config_131,0.755321,5.284902,,,,,,,,
temperature_300.0,300 K,config_132,0.730293,5.255578,,,,,,,,
temperature_300.0,300 K,config_133,0.719272,5.305209,,,,,,,,
temperature_300.0,300 K,config_134,0.679351,5.250684,,,,,,,,
temperature_300.0,300 K,config_135,0.738437,5.248839,,,,,,,,
temperature_300.0,300 K,config_136,0.724276,5.298368,,,,,,,,
temperature_300.0,300 K,config_137,0.831386,5.249517,,,,,,,,
temperature_300.0,300 K,config_138,0.753294,5.320149,,,,,,,,
temperature_300.0,300 K,config_139,0.781869,5.294135,,,,,,,,
temperature_300.0,300 K,config_140,0.804987,5.246212,,,,,,,,
temperature_300.0,300 K,config_141,0.747690,5.305581,,,,,,,,
temperature_300.0,300 K,config_142,0.755981,5.251045,,,,,,,,
temperature_300.0,300 K,config_143,0.744254,5.300562,,,,,,,,
temperature_300.0,300 K,config_144,0.778592,5.231736,,,,,,,,
temperature_300.0,300 K,config_145,0.797732,5.243944,,,,,,,,
temperature_300.0,300 K,config_146,0.717221,5.296651,,,,,,,,
temperature_300.0,300 K,config_147,0.808132,5.226011,,,,,,,,
temperature_300.0,300 K,config_148,0.787281,5.241406,,,,,,,,
temperature_300.0,300 K,config_149,0.813327,5.253166,,,,,,,,
